w/HHLC	324					w/oHHLC	324						w/HHLC 24				
index	bin	occurnace				index	bin	occurnace					index	bin	occurnace		
57	464.016	54	11.048	596.592		57	447.094	27	10.64509524	287.4175714			57	282.328	29	6.722095238	194.9407619
58	472.156	41	11.24180952	460.9141905		58	454.938	38	10.83185714	411.6105714			58	287.281	45	6.84002381	307.8010714
59	480.297	28	11.43564286	320.198		59	462.781	32	11.01859524	352.5950476			59	292.234	38	6.957952381	264.4021905
60	488.438	39	11.62947619	453.5495714		60	470.625	32	11.20535714	358.5714286			60	297.188	43	7.075904762	304.2639048
61	496.578	25	11.82328571	295.5821429		61	478.469	26	11.39211905	296.1950952			61	302.141	35	7.193833333	251.7841667
62	504.719	33	12.01711905	396.5649286		62	486.312	26	11.57885714	301.0502857			62	307.094	29	7.311761905	212.0410952
63	512.859	32	12.21092857	390.7497143		63	494.156	22	11.76561905	258.843619			63	312.047	15	7.429690476	111.4453571
64	521	42	12.4047619	521		64	502	23	11.95238095	274.9047619			64	317	31	7.547619048	233.9761905
65	529.141	30	12.59859524	377.9578571		65	509.844	26	12.13914286	315.6177143			65	321.953	28	7.665547619	214.6353333
66	537.281	30	12.79240476	383.7721429		66	517.688	32	12.32590476	394.4289524			66	326.906	37	7.78347619	287.988619
67	545.422	28	12.9862381	363.6146667		67	525.531	27	12.51264286	337.8413571			67	331.859	26	7.901404762	205.4365238
68	553.562	26	13.18004762	342.6812381		68	533.375	22	12.69940476	279.3869048			68	336.812	24	8.019333333	192.464
69	561.703	27	13.37388095	361.0947857		69	541.219	27	12.88616667	347.9265			69	341.766	32	8.137285714	260.3931429
70	569.844	18	13.56771429	244.2188571		70	549.062	15	13.07290476	196.0935714			70	346.719	17	8.255214286	140.3386429
71	577.984	28	13.76152381	385.3226667		71	556.906	15	13.25966667	198.895			71	351.672	23	8.373142857	192.5822857
72	586.125	18	13.95535714	251.1964286		72	564.75	20	13.44642857	268.9285714			72	356.625	27	8.491071429	229.2589286
73	594.266	22	14.14919048	311.2821905		73	572.594	21	13.63319048	286.297			73	361.578	26	8.609	223.834
74	602.406	21	14.343	301.203		74	580.438	17	13.81995238	234.9391905			74	366.531	18	8.726928571	157.0847143
75	610.547	28	14.53683333	407.0313333		75	588.281	35	14.00669048	490.2341667			75	371.484	19	8.844857143	168.0522857
76	618.688	20	14.73066667	294.6133333		76	596.125	23	14.19345238	326.4494048			76	376.438	22	8.962809524	197.1818095
77	626.828	17	14.92447619	253.7160952		77	603.969	17	14.38021429	244.4636429			77	381.391	19	9.080738095	172.5340238
78	634.969	23	15.11830952	347.721119		78	611.812	24	14.56695238	349.6068571			78	386.344	21	9.198666667	193.172
79	643.109	24	15.31211905	367.4908571		79	619.656	24	14.75371429	354.0891429			79	391.297	16	9.316595238	149.0655238
80	651.25	30	15.50595238	465.1785714		80	627.5	21	14.94047619	313.75			80	396.25	26	9.43452381	245.297619
81	659.391	22	15.69978571	345.3952857		81	635.344	28	15.1272381	423.5626667			81	401.203	27	9.552452381	257.9162143
82	667.531	19	15.89359524	301.9783095		82	643.188	28	15.314	428.792			82	406.156	20	9.670380952	193.407619
83	675.672	25	16.08742857	402.1857143		83	651.031	28	15.5007381	434.0206667			83	411.109	21	9.788309524	205.5545
