w/HHLC	324					w/oHHLC	324						w/HHLC 24				
index	bin	occurnace				index	bin	occurnace					index	bin	occurnace		
237	1929.328	0	45.93638095	0		237	1858.969	0	44.26116667	0			237	1173.891	0	27.94978571	0
238	1937.469	1	46.13021429	46.13021429		238	1866.812	0	44.44790476	0			238	1178.844	1	28.06771429	28.06771429
239	1945.609	0	46.32402381	0		239	1874.656	0	44.63466667	0			239	1183.797	0	28.18564286	0
240	1953.75	0	46.51785714	0		240	1882.5	1	44.82142857	44.82142857			240	1188.75	0	28.30357143	0
241	1961.891	0	46.71169048	0		241	1890.344	0	45.00819048	0			241	1193.703	0	28.4215	0
242	1970.031	0	46.9055	0		242	1898.188	1	45.19495238	45.19495238			242	1198.656	0	28.53942857	0
243	1978.172	0	47.09933333	0		243	1906.031	0	45.38169048	0			243	1203.609	0	28.65735714	0
244	1986.312	0	47.29314286	0		244	1913.875	0	45.56845238	0			244	1208.562	1	28.77528571	28.77528571
245	1994.453	0	47.48697619	0		245	1921.719	0	45.75521429	0			245	1213.516	0	28.8932381	0
246	2002.594	0	47.68080952	0		246	1929.562	0	45.94195238	0			246	1218.469	0	29.01116667	0
247	2010.734	0	47.87461905	0		247	1937.406	0	46.12871429	0			247	1223.422	0	29.12909524	0
248	2018.875	0	48.06845238	0		248	1945.25	0	46.31547619	0			248	1228.375	0	29.24702381	0
249	2027.016	0	48.26228571	0		249	1953.094	0	46.5022381	0			249	1233.328	1	29.36495238	29.36495238
250	2035.156	0	48.45609524	0		250	1960.938	0	46.689	0			250	1238.281	0	29.48288095	0
251	2043.297	0	48.64992857	0		251	1968.781	0	46.8757381	0			251	1243.234	0	29.60080952	0
252	2051.438	0	48.8437619	0		252	1976.625	0	47.0625	0			252	1248.188	0	29.7187619	0
253	2059.578	0	49.03757143	0		253	1984.469	0	47.2492619	0			253	1253.141	0	29.83669048	0
254	2067.719	0	49.23140476	0		254	1992.312	0	47.436	0			254	1258.094	0	29.95461905	0
255	2075.859	1	49.42521429	49.42521429		255	2000.156	1	47.6227619	47.6227619			255	1263.047	1	30.07254762	30.07254762
																	
																	
				56228.84752						51336.03733							46860.69074
																	
									0.912983986								
